type,serial,LS
Scout-X1,ST-7,WI LA-3
Scout-X2,ST-9,WI LA-3
Scout-X3,116,WI LA-3
Scout-X4,124R,WI LA-3A
Scout-B,BIC,WI LA-3A
Scout-D1,193C,WI LA-3A
Ariane-5G,V-142/510,Ko ELA-3
Ariane-5ECA,V-157/517,Ko ELA-3
Ariane-5ECA,VA-241/5101,Ko ELA-3
LauncherOne,B-747-400,Mo RW12/30
LauncherOne,B-747-400,Nq RW12/30
Juno-1,RS-26 (UV),CC LC-26A
Juno-1,RS-47 (TI),CC LC-5
Vostok-L,B1-3,Ba LC-1/5
Vostok-L,B1-4,Ba LC-1/5
Vostok-L,B1-5,Ba LC-1/5
Vostok-L,I1-7,Ba LC-1/5
Vostok-L,L1-9,Ba LC-1/5
Vostok-L,L1-9A,Ba LC-1/5
Juno-1 (5 St.),RS-49 (HE),CC LC-5
Delta,144/D-1,CC LC-17A
Vostok,L1-10,Ba LC-1/5
Molniya,T103-12,Ba LC-1/5
Molniya,T103-13,Ba LC-1/5
Molniya,T103-14,Ba LC-1/5
Molniya,T103-15,Ba LC-1/5
Molniya,T103-17,Ba LC-1/5
Molniya (M),T15000-022,Ba LC-1/5
Molniya (E6),G15000-024,Ba LC-1/5
Scout-X1,ST-3,WI LA-3
Scout-X1,ST-4,WI LA-3
Scout-X1,ST-5,WI LA-3
Scout-X1,ST-6,WI LA-3
Vostok-K,L1-13A,Ba LC-1/5
Vostok-K,E103-21,Ba LC-1/5
Scout-X2,111,Va LC-D
Scout-X2M,112,Va LC-D
Scout-X2M,117,Va LC-D
Scout-X2M,121,Va LC-D
Vostok-2,E15000-01,Ba LC-1/5
Vostok-2,E15000-04,Ba LC-1/5
Vostok-2,G15001-02,Ba LC-1/5
Vostok-2,R15002-05,Ba LC-31/6
Vostok-2,U15001-08,Ba LC-31/6
Vostok-2,N15001-02,Ba LC-31/6
Vostok-2,U15001-03,Ba LC-1/5
Thor-DM21 Agena-D,351,Va 75-1-2
Delta-B,391/D-24,CC LC-17A
Scout-X3,115,WI LA-3
Scout-X3,118,Va LC-D
Scout-X3,119,Va LC-D
Scout-X3,120,Va LC-D
Scout-X3,127R,WI LA-3
Scout-X3M,126,Va LC-D
Scout-X4,113,WI LA-3
Scout-X4,122R,Va LC-D
Scout-X4,125R,Va LC-D
Scout-X4,128R,Va LC-D
Scout-X4,134R,Va PALC-D
