ID,Date,Payload(s),Launch Vehicle,Site,Site_inf,complate_site,Remark,country,LS
1957 α (001),1957-04-10,Sputnik 1 (PS-1 #1),Sputnik (1),Ba,LC-1/5,"Baikonur (Tyuratam, NIIP-5, GIK-5), Tyuratam, USSR",Pass,USSR,Ba LC-1/5
1957 β (002),1957-03-11,Sputnik 2 (PS-2 #1),Sputnik (1),Ba,LC-1/5,"Baikonur (Tyuratam, NIIP-5, GIK-5), Tyuratam, USSR",Pass,USSR,Ba LC-1/5
1957-F01,1957-06-12,Vanguard (Test Satellite F),Vanguard,CC,LC-18A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Failed,USA,CC LC-18A
1958 α (001),1958-01-02,Explorer 1,Juno-1,CC,LC-26A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Pass,USA,CC LC-26A
1958-F01,1958-05-02,Vanguard (Test Satellite G),Vanguard,CC,LC-18A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Failed,USA,CC LC-18A
1958-F02,1958-05-03,Explorer 2,Juno-1,CC,LC-26A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Failed,USA,CC LC-26A
1958 β (002),1958-03-17,Vanguard 1 (Test Satellite H),Vanguard,CC,LC-18A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Pass,USA,CC LC-18A
1958 γ (003),1958-03-26,Explorer 3,Juno-1,CC,LC-5,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Pass,USA,CC LC-5
1958-F03,1958-04-27,Sputnik (3) (D-1 #1),Sputnik (2),Ba,LC-1/5,"Baikonur (Tyuratam, NIIP-5, GIK-5), Tyuratam, USSR",Failed,USSR,Ba LC-1/5
1958-F04,1958-04-29,Vanguard (X-ray/Environmental Satellite),Vanguard,CC,LC-18A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Failed,USA,CC LC-18A
1958 δ (004),1958-05-15,Sputnik 3 (D-1 #2),Sputnik (2),Ba,LC-1/5,"Baikonur (Tyuratam, NIIP-5, GIK-5), Tyuratam, USSR",Pass,USSR,Ba LC-1/5
1958-F05,1958-05-28,Vanguard (Lyman-Alpha Satellite 1),Vanguard,CC,LC-18A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Failed,USA,CC LC-18A
1958-F06,1958-06-26,Vanguard (Lyman-Alpha Satellite 2),Vanguard,CC,LC-18A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Failed,USA,CC LC-18A
1958-F07,1958-07-25,Pilot 1,Pilot (NOTS-EV-1),"In,",F-4D,Des,Failed,Des,"In, F-4D"
1958 ε (005),1958-07-26,Explorer 4,Juno-1,CC,LC-5,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Pass,USA,CC LC-5
1958-F08,1958-12-08,Pilot 2,Pilot (NOTS-EV-1),"In,",F-4D,Des,Failed,Des,"In, F-4D"
1958-F09,1958-08-17,Pioneer (1),Thor-DM18 Able-1,CC,LC-17A,"Cape Canaveral Air Force Station, Eastern Test Range, Cape Canaveral, Florida, USA",Failed,USA,CC LC-17A
1958-F10,1958-08-22,Pilot 3,Pilot (NOTS-EV-1),"In,",F-4D,Des,Failed,Des,"In, F-4D"
