Nation:,Type / Application:,Operator:,Contractors:,Equipment:,Configuration:,Propulsion:,Power:,Lifetime:,Mass:,Orbit:,titulo
USSR,Technology,,NPO Energia,2 transmitters,pressurized sphere with four antennas,None,Batteries,21 days,84 kg,"228 km × 947 km, 65.0°",Sputnik 1 (PS-1 #1)
USSR,Biological resaerch,,,,R-7 core with added payload,none (after burnout),Batteries,6 days,508 kg (payload),"212 km × 1660 km, 65.3°",Sputnik 2 (PS-2 #1)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,"Solar cells, batteries",,1.5 kg,"654 km × 3969 km, 34.25°",Vanguard (6.5in)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,"Solar cells, batteries",,1.5 kg,"654 km × 3969 km, 34.25°",Vanguard (6.5in)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,"Solar cells, batteries",,1.5 kg,"654 km × 3969 km, 34.25°",Vanguard (6.5in)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,Batteries,,10 kg,,Vanguard (20in X-Ray)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,Batteries,,10 kg,,Vanguard (20in Lyman-Alpha)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,Batteries,,10 kg,,Vanguard (20in Lyman-Alpha)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,Batteries,,10 kg,"559 km × 3320 km, 32.88°",Vanguard (20in Cloud Cover)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,Batteries,,10 kg,"559 km × 3320 km, 32.88°",Vanguard (20in Cloud Cover)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,Batteries,,10 kg,,Vanguard (13in Magnetometer)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,None,,,,Vanguard-Balloon (Vanguard Sub-Satellite)
USA,Science,NASA,Naval Research Laboratory (NRL),,,None,Batteries,,10 kg,,Vanguard (20in Radiation Balance)
USA,"Research, Magnetosphere, micro meteorites",NASA,Jet Propulsion Laboratory (JPL),"cosmic-ray detection package, temperature sensors, micrometeorite impact
    microphone, micrometeorite erosion gauges","Aerodynimcally shaped satellite body attached to 4th stage, spin
    stabilized",None,Batteries,,"14 kg (#1-3), 17 kg (#4-5)","356 km × 2548 km, 33.24° (#1); 186 km × 2799 km, 33.38° (#3); 263
    km × 2213 km, 50.25° (#4)","Explorer 1, 2, 3, 4, 5"
USA,"Research, Magnetosphere, micro meteorites",NASA,Jet Propulsion Laboratory (JPL),"cosmic-ray detection package, temperature sensors, micrometeorite impact
    microphone, micrometeorite erosion gauges","Aerodynimcally shaped satellite body attached to 4th stage, spin
    stabilized",None,Batteries,,"14 kg (#1-3), 17 kg (#4-5)","356 km × 2548 km, 33.24° (#1); 186 km × 2799 km, 33.38° (#3); 263
    km × 2213 km, 50.25° (#4)","Explorer 1, 2, 3, 4, 5"
USA,"Research, Magnetosphere, micro meteorites",NASA,Jet Propulsion Laboratory (JPL),"cosmic-ray detection package, temperature sensors, micrometeorite impact
    microphone, micrometeorite erosion gauges","Aerodynimcally shaped satellite body attached to 4th stage, spin
    stabilized",None,Batteries,,"14 kg (#1-3), 17 kg (#4-5)","356 km × 2548 km, 33.24° (#1); 186 km × 2799 km, 33.38° (#3); 263
    km × 2213 km, 50.25° (#4)","Explorer 1, 2, 3, 4, 5"
USA,"Research, Magnetosphere, micro meteorites",NASA,Jet Propulsion Laboratory (JPL),"cosmic-ray detection package, temperature sensors, micrometeorite impact
    microphone, micrometeorite erosion gauges","Aerodynimcally shaped satellite body attached to 4th stage, spin
    stabilized",None,Batteries,,"14 kg (#1-3), 17 kg (#4-5)","356 km × 2548 km, 33.24° (#1); 186 km × 2799 km, 33.38° (#3); 263
    km × 2213 km, 50.25° (#4)","Explorer 1, 2, 3, 4, 5"
USA,"Research, Magnetosphere, micro meteorites",NASA,Jet Propulsion Laboratory (JPL),"cosmic-ray detection package, temperature sensors, micrometeorite impact
    microphone, micrometeorite erosion gauges","Aerodynimcally shaped satellite body attached to 4th stage, spin
    stabilized",None,Batteries,,"14 kg (#1-3), 17 kg (#4-5)","356 km × 2548 km, 33.24° (#1); 186 km × 2799 km, 33.38° (#3); 263
    km × 2213 km, 50.25° (#4)","Explorer 1, 2, 3, 4, 5"
USSR,Scientific,,,See above,,None,"Batteries, solar cells",~ 1 month,1327 kg,"217 km × 1864 km, 65.2°","Sputnik 3 (D-1 #1, 2)"
USSR,Scientific,,,See above,,None,"Batteries, solar cells",~ 1 month,1327 kg,"217 km × 1864 km, 65.2°","Sputnik 3 (D-1 #1, 2)"
USA,Technology,NOTS,NOTS,IR Scanner,"Annular body with small rocket motor in the center, spin stabilized",None in orbit,Batteries,few hours,1 kg,2250 km × 2400 km,"Pilot 1, 2, 3, 4, 5, 6"
USA,Technology,NOTS,NOTS,IR Scanner,"Annular body with small rocket motor in the center, spin stabilized",None in orbit,Batteries,few hours,1 kg,2250 km × 2400 km,"Pilot 1, 2, 3, 4, 5, 6"
USA,Technology,NOTS,NOTS,IR Scanner,"Annular body with small rocket motor in the center, spin stabilized",None in orbit,Batteries,few hours,1 kg,2250 km × 2400 km,"Pilot 1, 2, 3, 4, 5, 6"
USA,Technology,NOTS,NOTS,IR Scanner,"Annular body with small rocket motor in the center, spin stabilized",None in orbit,Batteries,few hours,1 kg,2250 km × 2400 km,"Pilot 1, 2, 3, 4, 5, 6"
USA,Technology,NOTS,NOTS,IR Scanner,"Annular body with small rocket motor in the center, spin stabilized",None in orbit,Batteries,few hours,1 kg,2250 km × 2400 km,"Pilot 1, 2, 3, 4, 5, 6"
USA,Technology,NOTS,NOTS,IR Scanner,"Annular body with small rocket motor in the center, spin stabilized",None in orbit,Batteries,few hours,1 kg,2250 km × 2400 km,"Pilot 1, 2, 3, 4, 5, 6"
USA,Lunar Orbiter,"US Air Force (USAF), NASA",TRW,"camera (oscillating mirror scanner), radiation counter, search coil
    magnetometer, microphone micrometeorite detector",2 glass fiber cones joined at their base by a cylinder,"8 × vernier rockets (separable), TX-8 (Falcon) orbit insertion motor",Batteries,2 weeks,38 kg,"Earth escape, lunar orbit (planned)","Pioneer 0, 1, 2"
USA,Lunar Orbiter,"US Air Force (USAF), NASA",TRW,"camera (oscillating mirror scanner), radiation counter, search coil
    magnetometer, microphone micrometeorite detector",2 glass fiber cones joined at their base by a cylinder,"8 × vernier rockets (separable), TX-8 (Falcon) orbit insertion motor",Batteries,2 weeks,38 kg,"Earth escape, lunar orbit (planned)","Pioneer 0, 1, 2"
USA,Lunar Orbiter,"US Air Force (USAF), NASA",TRW,"camera (oscillating mirror scanner), radiation counter, search coil
    magnetometer, microphone micrometeorite detector",2 glass fiber cones joined at their base by a cylinder,"8 × vernier rockets (separable), TX-8 (Falcon) orbit insertion motor",Batteries,2 weeks,38 kg,"Earth escape, lunar orbit (planned)","Pioneer 0, 1, 2"
USSR,Lunar impact,,OKB-1,"Magnetometer, Geiger counter, scintillation counter, micrometeorite detector",,None,Batteries,,361 kg,,Luna Ye-1
USSR,Lunar impact,,OKB-1,"Magnetometer, Geiger counter, scintillation counter, micrometeorite detector",,None,Batteries,,361 kg,,Luna Ye-1
USSR,Lunar impact,,OKB-1,"Magnetometer, Geiger counter, scintillation counter, micrometeorite detector",,None,Batteries,,361 kg,,Luna Ye-1
USSR,Lunar impact,,OKB-1,"Magnetometer, Geiger counter, scintillation counter, micrometeorite detector",,None,Batteries,,361 kg,,Luna Ye-1
USSR,Lunar impact,,OKB-1,"scintillation counters, geiger counters, a magnetometer, Cherenkov detectors, micrometeorite detectors",,None,Batteries,1.5 days,390 kg,,Luna Ye-1A
USSR,Lunar impact,,OKB-1,"scintillation counters, geiger counters, a magnetometer, Cherenkov detectors, micrometeorite detectors",,None,Batteries,1.5 days,390 kg,,Luna Ye-1A
USSR,Lunar fly-by,,,,,,"Solar cells, batteries",,,,Luna Ye-2A
USSR,Lunar fly-by,,,,,,"Solar cells, batteries",,,,Luna Ye-3
USSR,Lunar fly-by,,,,,,"Solar cells, batteries",,,,Luna Ye-3
USA,Atmosphere density,US Army,NASA Langley Research Center,,12ft Balloon,None,None,,5 kg,,"Beacon 1, 2"
USA,Lunar flyby,NASA,Jet Propulsion Laboratory (JPL),,,,Batteries,,5.9 kg,"heliocentric (0.98 AU × 1.13 AU, 1.30°) (#4)","Pioneer 3, 4"
USA,Lunar flyby,NASA,Jet Propulsion Laboratory (JPL),,,,Batteries,,5.9 kg,"heliocentric (0.98 AU × 1.13 AU, 1.30°) (#4)","Pioneer 3, 4"
